year,month,prefecture,prefecture_total_job_count,national_total_job_count,source_sheet,source_url
2022,4,愛媛県,26842,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,4,高知県,13961,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,4,福岡県,96198,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,4,佐賀県,17084,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,4,長崎県,24739,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,4,熊本県,33325,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,4,大分県,23409,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,4,宮崎県,25436,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,4,鹿児島県,41804,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,4,沖縄県,24598,2183059,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,北海道,91824,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,青森県,24375,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,岩手県,23380,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,宮城県,43610,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,秋田県,21231,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,山形県,23333,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,福島県,35091,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,茨城県,46005,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,栃木県,36096,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,群馬県,35149,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,埼玉県,82677,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,千葉県,63732,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,東京都,263435,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,神奈川県,84403,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,新潟県,49042,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,富山県,21589,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,石川県,24173,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,福井県,17979,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,山梨県,14931,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,長野県,43810,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,岐阜県,41342,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,静岡県,61469,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,愛知県,122266,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,三重県,29568,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,滋賀県,20923,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
2022,5,京都府,47220,2176859,第１４表ー４（パート含む常用）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040428402&fileKind=0
