year,month,major_category,estat_job_count,coverage_rate,estimated_national_job_count,coverage_source,notes
2022,10,輸送・機械運転,267690,0.50,,default_heuristic,レビュー用の見直し後初期値
2022,10,農林漁業,18827,0.65,,default_heuristic,レビュー用の見直し後初期値
2022,10,運搬・清掃・包装等,435628,0.48,,default_heuristic,レビュー用の見直し後初期値
2022,10,集計区分,292322,,,,
2022,11,サービス,1098997,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,11,事務,428560,0.35,,default_heuristic,レビュー用の見直し後初期値
2022,11,保安,82114,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,11,分類不能,0,,,,
2022,11,専門・技術,1010349,0.34,,default_heuristic,レビュー用の見直し後初期値
2022,11,建設・採掘,247410,0.55,,default_heuristic,レビュー用の見直し後初期値
2022,11,生産工程,481502,0.50,,default_heuristic,レビュー用の見直し後初期値
2022,11,管理,7325,0.20,,default_heuristic,レビュー用の見直し後初期値
2022,11,販売,443198,0.35,,default_heuristic,レビュー用の見直し後初期値
2022,11,輸送・機械運転,266718,0.50,,default_heuristic,レビュー用の見直し後初期値
2022,11,農林漁業,18257,0.65,,default_heuristic,レビュー用の見直し後初期値
2022,11,運搬・清掃・包装等,432952,0.48,,default_heuristic,レビュー用の見直し後初期値
2022,11,集計区分,291237,,,,
2022,12,サービス,1063790,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,12,事務,424042,0.35,,default_heuristic,レビュー用の見直し後初期値
2022,12,保安,79004,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,12,分類不能,0,,,,
2022,12,専門・技術,1006014,0.34,,default_heuristic,レビュー用の見直し後初期値
2022,12,建設・採掘,237256,0.55,,default_heuristic,レビュー用の見直し後初期値
2022,12,生産工程,461434,0.50,,default_heuristic,レビュー用の見直し後初期値
2022,12,管理,7422,0.20,,default_heuristic,レビュー用の見直し後初期値
2022,12,販売,431102,0.35,,default_heuristic,レビュー用の見直し後初期値
2022,12,輸送・機械運転,258398,0.50,,default_heuristic,レビュー用の見直し後初期値
2022,12,農林漁業,16964,0.65,,default_heuristic,レビュー用の見直し後初期値
