year,month,major_category,occupation_name,jobmedley_related,estat_job_count,major_category_coverage_rate,occupation_relative_factor,coverage_rate,estimated_national_job_count,factor_source,confidence,notes
2022,7,運搬・清掃・包装等,清掃従事者,true,83800,0.480000,1.05,0.504000,166270,default_heuristic,low,
2022,7,サービス,生活衛生サービス職業従事者,false,38524,0.450000,0.95,0.427500,90115,default_heuristic,low,
2022,7,生産工程,生産工程従事者,false,233233,0.500000,1.10,0.550000,424060,default_heuristic,low,
2022,7,生産工程,生産設備制御・監視従事者（金属製品を除く）セ,false,6173,0.500000,1.00,0.500000,12346,default_neutral,low,
2022,7,生産工程,生産設備制御・監視従事者（金属製品）セ,false,3047,0.500000,1.00,0.500000,6094,default_neutral,low,
2022,7,生産工程,生産関連・生産類似作業従事者,false,14929,0.500000,1.00,0.500000,29858,default_neutral,low,
2022,7,事務,生産関連事務従事者,false,15521,0.350000,1.00,0.350000,44346,default_neutral,low,
2022,7,専門・技術,社会福祉専門職業従事者,true,118820,0.340000,1.20,0.408000,291225,default_heuristic,low,
2022,7,管理,管理的職業従事者,false,6777,0.200000,0.60,0.120000,56475,default_heuristic,low,
2022,7,専門・技術,美術家，デザイナー，写真家，映像撮影者,false,6064,0.340000,0.45,0.153000,39634,default_heuristic,low,
2022,7,総計,職業計,false,2205203,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,7,輸送・機械運転,自動車運転従事者,true,103820,0.500000,1.10,0.550000,188764,default_heuristic,low,
2022,7,輸送・機械運転,船舶・航空機運転従事者,false,80,0.500000,1.00,0.500000,160,default_neutral,low,
2022,7,生産工程,製品検査従事者（金属製品を除く）,false,6716,0.500000,1.00,0.500000,13432,default_neutral,low,
2022,7,生産工程,製品検査従事者（金属製品）,false,3957,0.500000,1.00,0.500000,7914,default_neutral,low,
2022,7,生産工程,製品製造・加工処理従事者（金属製品を除く）,false,79418,0.500000,1.00,0.500000,158836,default_neutral,low,
2022,7,生産工程,製品製造・加工処理従事者（金属製品）セ,false,48212,0.500000,1.00,0.500000,96424,default_neutral,low,
2022,7,専門・技術,製造技術者（開発を除く）,false,12807,0.340000,0.90,0.306000,41853,default_heuristic,low,
2022,7,専門・技術,製造技術者（開発）,false,13897,0.340000,0.75,0.255000,54498,default_heuristic,low,
2022,7,販売,販売従事者,false,212755,0.350000,0.80,0.280000,759839,default_heuristic,low,
2022,7,販売,販売類似職業従事者,false,5990,0.350000,0.85,0.297500,20134,default_heuristic,low,
2022,7,輸送・機械運転,輸送・機械運転従事者,false,130401,0.500000,1.05,0.525000,248383,default_heuristic,low,
2022,7,農林漁業,農林漁業従事者,false,18734,0.650000,1.00,0.650000,28822,default_neutral,low,
2022,7,運搬・清掃・包装等,運搬・清掃・包装等従事者,false,202287,0.480000,1.05,0.504000,401363,default_heuristic,low,
2022,7,運搬・清掃・包装等,運搬従事者,false,55892,0.480000,1.00,0.480000,116442,default_neutral,low,
2022,7,事務,運輸・郵便事務従事者,false,5382,0.350000,1.00,0.350000,15377,default_neutral,low,
2022,7,輸送・機械運転,鉄道運転従事者,false,62,0.500000,1.00,0.500000,124,default_neutral,low,
2022,7,建設・採掘,電気工事従事者,false,19327,0.550000,1.10,0.605000,31945,default_heuristic,low,
2022,7,サービス,飲食物調理従事者,true,126396,0.450000,1.00,0.450000,280880,default_neutral,low,
2022,8,サービス,その他のサービス職業従事者,false,28242,0.450000,1.00,0.450000,62760,default_neutral,low,
2022,8,専門・技術,その他の保健医療従事者,false,21404,0.340000,1.00,0.340000,62953,default_neutral,low,
2022,8,専門・技術,その他の専門的職業,false,31281,0.340000,1.00,0.340000,92003,default_neutral,low,
2022,8,専門・技術,その他の技術者,false,3692,0.340000,1.00,0.340000,10859,default_neutral,low,
2022,8,輸送・機械運転,その他の輸送従事者,false,6875,0.500000,1.00,0.500000,13750,default_neutral,low,
2022,8,運搬・清掃・包装等,その他の運搬・清掃・包装等従事者,false,53948,0.480000,1.00,0.480000,112392,default_neutral,low,
2022,8,サービス,サービス職業従事者,false,541491,0.450000,0.95,0.427500,1266646,default_heuristic,low,
2022,8,事務,一般事務従事者,true,137574,0.350000,0.85,0.297500,462434,default_heuristic,low,
2022,8,事務,事務従事者,true,202779,0.350000,0.85,0.297500,681610,default_heuristic,low,
2022,8,事務,事務用機器操作員,false,3730,0.350000,1.00,0.350000,10657,default_neutral,low,
2022,8,サービス,介護サービス職業従事者,true,215662,0.450000,1.25,0.562500,383399,default_heuristic,low,
2022,8,集計区分,介護関係職種（注２）カ,false,284826,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,8,事務,会計事務従事者,true,18941,0.350000,0.90,0.315000,60130,default_heuristic,low,
2022,8,専門・技術,保健医療サービス職業従事者,false,27840,0.340000,1.00,0.340000,81882,default_neutral,low,
2022,8,専門・技術,保健師，助産師，看護師,true,101812,0.340000,1.25,0.425000,239558,default_heuristic,low,
2022,8,保安,保安職業従事者,false,78978,0.450000,1.00,0.450000,175507,default_neutral,low,
2022,8,分類不能,分類不能の職業,false,0,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,8,運搬・清掃・包装等,包装従事者,false,10022,0.480000,1.00,0.480000,20879,default_neutral,low,
2022,8,専門・技術,医師，歯科医師，獣医師，薬剤師,true,9581,0.340000,1.15,0.391000,24504,default_heuristic,low,
2022,8,専門・技術,医療技術者,true,41140,0.340000,1.10,0.374000,110000,default_heuristic,low,
2022,8,販売,商品販売従事者,false,133220,0.350000,0.75,0.262500,507505,default_heuristic,low,
2022,8,事務,営業・販売事務従事者,false,20406,0.350000,0.85,0.297500,68592,default_heuristic,low,
2022,8,販売,営業職業従事者,true,78505,0.350000,0.85,0.297500,263882,default_heuristic,low,
2022,8,建設・採掘,土木作業従事者,false,46900,0.550000,1.00,0.550000,85273,default_neutral,low,
2022,8,事務,外勤事務従事者,false,714,0.350000,1.00,0.350000,2040,default_neutral,low,
2022,8,輸送・機械運転,定置・建設機械運転従事者,false,19660,0.500000,1.00,0.500000,39320,default_neutral,low,
2022,8,サービス,家庭生活支援サービス職業従事者,true,2364,0.450000,1.00,0.450000,5253,default_neutral,low,
2022,8,専門・技術,専門的・技術的職業従事者,false,474183,0.340000,1.00,0.340000,1394656,default_neutral,low,
2022,8,サービス,居住施設・ビル等管理人,false,9971,0.450000,1.00,0.450000,22158,default_neutral,low,
2022,8,専門・技術,建築・土木・測量技術者,false,62812,0.340000,1.05,0.357000,175944,default_heuristic,low,
2022,8,建設・採掘,建設・採掘従事者,false,123249,0.550000,1.00,0.550000,224089,default_neutral,low,
2022,8,建設・採掘,建設従事者（建設躯体工事従事者を除く）,false,33420,0.550000,1.10,0.605000,55240,default_heuristic,low,
2022,8,建設・採掘,建設躯体工事従事者,false,23173,0.550000,1.10,0.605000,38302,default_heuristic,low,
2022,8,専門・技術,情報処理・通信技術者,false,48905,0.340000,0.55,0.187000,261524,default_heuristic,low,
2022,8,建設・採掘,採掘従事者,false,285,0.550000,1.00,0.550000,518,default_neutral,low,
2022,8,サービス,接客・給仕職業従事者,false,87821,0.450000,0.95,0.427500,205429,default_heuristic,low,
2022,8,生産工程,機械整備・修理従事者,false,36765,0.500000,1.00,0.500000,73530,default_neutral,low,
2022,8,生産工程,機械検査従事者,false,4524,0.500000,1.00,0.500000,9048,default_neutral,low,
2022,8,生産工程,機械組立従事者,false,27952,0.500000,1.00,0.500000,55904,default_neutral,low,
2022,8,生産工程,機械組立設備制御・監視従事者,false,2618,0.500000,1.00,0.500000,5236,default_neutral,low,
2022,8,運搬・清掃・包装等,清掃従事者,true,85435,0.480000,1.05,0.504000,169514,default_heuristic,low,
2022,8,サービス,生活衛生サービス職業従事者,false,39826,0.450000,0.95,0.427500,93160,default_heuristic,low,
2022,8,生産工程,生産工程従事者,false,235684,0.500000,1.10,0.550000,428516,default_heuristic,low,
2022,8,生産工程,生産設備制御・監視従事者（金属製品を除く）セ,false,6150,0.500000,1.00,0.500000,12300,default_neutral,low,
2022,8,生産工程,生産設備制御・監視従事者（金属製品）セ,false,3049,0.500000,1.00,0.500000,6098,default_neutral,low,
2022,8,生産工程,生産関連・生産類似作業従事者,false,15054,0.500000,1.00,0.500000,30108,default_neutral,low,
2022,8,事務,生産関連事務従事者,false,15933,0.350000,1.00,0.350000,45523,default_neutral,low,
2022,8,専門・技術,社会福祉専門職業従事者,true,120031,0.340000,1.20,0.408000,294194,default_heuristic,low,
2022,8,管理,管理的職業従事者,false,6912,0.200000,0.60,0.120000,57600,default_heuristic,low,
2022,8,専門・技術,美術家，デザイナー，写真家，映像撮影者,false,6133,0.340000,0.45,0.153000,40085,default_heuristic,low,
2022,8,総計,職業計,false,2237672,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,8,輸送・機械運転,自動車運転従事者,true,104205,0.500000,1.10,0.550000,189464,default_heuristic,low,
2022,8,輸送・機械運転,船舶・航空機運転従事者,false,82,0.500000,1.00,0.500000,164,default_neutral,low,
2022,8,生産工程,製品検査従事者（金属製品を除く）,false,6783,0.500000,1.00,0.500000,13566,default_neutral,low,
2022,8,生産工程,製品検査従事者（金属製品）,false,4010,0.500000,1.00,0.500000,8020,default_neutral,low,
2022,8,生産工程,製品製造・加工処理従事者（金属製品を除く）,false,79839,0.500000,1.00,0.500000,159678,default_neutral,low,
2022,8,生産工程,製品製造・加工処理従事者（金属製品）セ,false,48940,0.500000,1.00,0.500000,97880,default_neutral,low,
2022,8,専門・技術,製造技術者（開発を除く）,false,13232,0.340000,0.90,0.306000,43242,default_heuristic,low,
2022,8,専門・技術,製造技術者（開発）,false,14160,0.340000,0.75,0.255000,55529,default_heuristic,low,
2022,8,販売,販売従事者,false,218009,0.350000,0.80,0.280000,778604,default_heuristic,low,
2022,8,販売,販売類似職業従事者,false,6284,0.350000,0.85,0.297500,21123,default_heuristic,low,
2022,8,輸送・機械運転,輸送・機械運転従事者,false,130921,0.500000,1.05,0.525000,249373,default_heuristic,low,
2022,8,農林漁業,農林漁業従事者,false,18809,0.650000,1.00,0.650000,28937,default_neutral,low,
2022,8,運搬・清掃・包装等,運搬・清掃・包装等従事者,false,206657,0.480000,1.05,0.504000,410034,default_heuristic,low,
2022,8,運搬・清掃・包装等,運搬従事者,false,57252,0.480000,1.00,0.480000,119275,default_neutral,low,
2022,8,事務,運輸・郵便事務従事者,false,5481,0.350000,1.00,0.350000,15660,default_neutral,low,
2022,8,輸送・機械運転,鉄道運転従事者,false,99,0.500000,1.00,0.500000,198,default_neutral,low,
